itemDesc,itemQty,itemPrice,itemSaved,itemImg,orderId
Fresho Lettuce - Romaine 100 to 150 g ,1.0,₹27,₹9.99,"https://www.bigbasket.com/media/uploads/p/l/40016096_2-fresho-lettuce-romaine.jpg?tr=w-256,q=80",1348947148
Fresho Carrot - Red 500 g ,1.29,₹24.99,₹9.25,"https://www.bigbasket.com/media/uploads/p/l/10000382_10-fresho-carrot-red.jpg?tr=w-256,q=80",1348947148
Fresho Cabbage 1 pc  (approx. 500 g to 800 g),1.0,₹21,₹7.77,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1348947148
Fresho Cucumber 500 g ,1.19,₹26.78,₹25.39,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1348947148
McCain Veggie Burger Patty 360 g Pouch,1.0,₹135,0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1348947148
Godrej Yummiez Yummiez Crispy Veggie Burger Patty 400 g Pouch Pack,1.0,₹159,0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1348947148
"Fresho EGG- 10 Farm Fresh - No antibiotics,hormone, steroids - All Natural 10 pcs ",1.0,₹92,₹108,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1348947148
English Oven Burger Bun 300 g Pouch,1.0,₹50,0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1348947148
Ching's Secret Manchow Instant Soup 15 g Pouch,1.0,₹10,0,"https://www.bigbasket.com/media/uploads/p/l/40019452_5-chings-secret-manchow-instant-soup.jpg?tr=w-256,q=80",1350181430
"Fresho Farm Eggs - Table Tray, Medium, Antibiotic Residue-Free 30 pcs ",1.0,₹265,₹225,"https://www.bigbasket.com/media/uploads/p/l/150502_6-fresho-farm-eggs-table-tray-medium-antibiotic-residue-free.jpg?tr=w-256,q=80",1350181430
IndiSecrets Organic Tea - Tulsi &amp; Ginger 36 g  (20 Bags x 1.8 g each),1.0,₹139,₹60,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1350181430
BB Royal Jaggery Kolhapuri - Bucket 900 g ,1.0,₹93,₹19,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1350181430
Lion Dates - Deseeded 500 g Cup,1.0,₹156,0,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1350181430
Fresho Tomato - Hybrid 1 kg ,1.01,₹68.68,₹57.57,"https://www.bigbasket.com/media/uploads/p/l/10000200_18-fresho-tomato-hybrid.jpg?tr=w-256,q=80",1351137729
Fresho Onion 1 kg ,1.0,₹71.54,₹26.46,"https://www.bigbasket.com/media/uploads/p/l/10000148_32-fresho-onion.jpg?tr=w-256,q=80",1351137729
"Only Earth Plant Based Oats Original Drink - Unsweetened, Lactose Free 200 ml ",1.0,₹0,₹75,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1351137729
BB Royal Organic - Black Pepper Powder 100 g ,1.0,₹126,₹34,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1351137729
Fresho Premium Banana - Robusta 1 kg ,1.01,₹72.26,₹26.72,"https://www.bigbasket.com/media/uploads/p/l/10000025_27-fresho-banana-robusta.jpg?tr=w-256,q=80",1352376772
Fresho Bottle Gourd 1 pc  (Approx. 500 g - 800 g),1.0,₹46.72,₹17.28,"https://www.bigbasket.com/media/uploads/p/l/20000745_5-fresho-bottle-gourd.jpg?tr=w-256,q=80",1352376772
Tasties Tasty Peanuts - Spice Coated 150 g ,1.0,₹37,₹12,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1352376772
Aashirvaad Shudh Chakki Atta 10 kg ,1.0,₹408.9,₹40.1,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",1352376772
